"title","prof","subject","courseQuestions","learningQuestions","instructorQuestions","wouldRecommend","spentMinimum","spentLow","spentMedium","spentHigh","spentMax"
"AMSL1401 Elem ASL 1: Hlthcare Profsnls","Lipsky, James","AMSL",2.1,3,4.6,4.5,100,NA,NA,NA,NA
"AMSL1511 ASL Classifiers","Bournazian, Alma","AMSL",4.3,4.5,4.5,4.5,50,NA,NA,33,NA
"AMSL1512 ASL Numbers  Fingerspelling","Lipsky, James","AMSL",3.8,4.6,4.6,4.5,20,60,20,NA,NA
"AMSL2101 Intermediate ASL 1","Bournazian, Alma","AMSL",4.45,4.75,4.5,4.45,28.5,NA,NA,20,NA
"AMSL2101 Intermediate ASL 1","Lipsky, James","AMSL",4.6,4.9,4.5,4.4,20,20,60,NA,NA
"AMSL2101 Intermediate ASL 1","Schreyer, Paul","AMSL",4.1,4.7,4.6,4.5,17,50,33,NA,NA
"AMSL2102 Intermediate ASL 2","Lipsky, James","AMSL",4.3,4.86666666666667,4.53333333333333,4.43333333333333,NA,43,53,NA,NA
"AMSL3101 Advanced ASL 1","Lipsky, James","AMSL",4.2,4.75,4.5,4.45,NA,33.5,21,39.5,NA
"AMSL3102 Advanced ASL 2","Bournazian, Alma","AMSL",4.23333333333333,4.5,4.53333333333333,4.43333333333333,21.3333333333333,NA,24.6666666666667,28.6666666666667,NA
"ANTH1000 Anthropology at NU","Reichelmann, Ashley","ANTH",4,4.8,4.4,4.3,88,13,NA,NA,NA
"ANTH1101 Peoples and Cultures","Cummins, Emily","ANTH",4.5,4.9,4.8,4.8,13,NA,75,13,NA
"ANTH1101 Peoples and Cultures","Hersh, Carie","ANTH",4.07142857142857,4.48571428571429,4.37142857142857,4.25714285714286,NA,NA,30.5714285714286,NA,NA
"ANTH1101 Peoples and Cultures","Klein, Alan","ANTH",3.93333333333333,4.33333333333333,4.36666666666667,4.26666666666667,NA,43.5,33,NA,NA
"ANTH2300 Culture through Ethnography","Lee, Doreen","ANTH",4.7,4.7,4.4,4.4,50,NA,NA,33,NA
"ANTH2302 Gender/Sexuality: Cross-Cult","Hersh, Carie","ANTH",4.2,4.7,4.3,4.1,28,NA,50,14,6
"ANTH2302 Gender/Sexuality: Cross-Cult","Sylvanus, Nina","ANTH",4.6,4.8,4.4,4.3,11,44,44,NA,NA
"ANTH2305 Global Markets  Local Culture","Holland, Curtis","ANTH",4,4,4.4,4.3,17,NA,40,33,7
"ANTH2305 Global Markets  Local Culture","Juris, Jeffrey","ANTH",4.2,4.5,4.3,4.1,NA,38,29,33,NA
"ANTH2305 Global Markets  Local Culture","Lee, Doreen","ANTH",3.8,4.1,4.4,4.3,13,27,47,13,NA
"ANTH2305 Global Markets  Local Culture","Weinstein, Liza","ANTH",4.3,4.7,4.4,4.4,32,NA,44,12,8
"ANTH2315 Religion  Modernity","Hersh, Carie","ANTH",4.4,4.8,4.4,4.3,NA,52.5,20,NA,NA
"ANTH2350 Urban Anthropology","Lee, Doreen","ANTH",3.9,4,4.4,4.3,20,60,20,NA,NA
"ANTH2365 Sport, Culture, and Society","Klein, Alan","ANTH",3.7,4,4.4,4.3,63,25,6,6,NA
"ANTH3120 Consumer Cultures","Sylvanus, Nina","ANTH",4.5,4.7,4.4,4.4,8,17,75,NA,NA
"ANTH3410 Ethnographic Field Experience","Lee, Doreen","ANTH",4.75,4.85,4.35,4.2,NA,41.5,42,NA,NA
"ANTH3415 Anthro Travel/Tourism","Klein, Alan","ANTH",4,4.1,4.4,4.3,44,33,11,11,NA
"ANTH3417 Political Anthropology","Lee, Doreen","ANTH",4.7,5,4.4,4.4,NA,50,50,NA,NA
"ANTH3421 Found of Anthro Theory","Sylvanus, Nina","ANTH",4.6,4.75,4.4,4.35,NA,NA,52.5,NA,NA
"ANTH4350 Ethnography of Southeast Asia","Lee, Doreen","ANTH",4.5,5,4.4,4.3,NA,50,50,NA,NA
"ANTH4500 Latin Am Society  Development","Collins, Ryan","ANTH",4.4,4.8,4.6,4.4,NA,50,25,25,NA
"ANTH4500 Latin Am Society  Development","Revette, Anna","ANTH",4.4,4.9,4.4,4.3,NA,86,14,NA,NA
"ANTH4510 Anthropology of Africa","Sylvanus, Nina","ANTH",4.55,5,4.35,4.2,NA,34,39.5,NA,NA
"ANTH4515 Ethnography of India","Weinstein, Liza","ANTH",4.8,5,4.4,4.3,NA,NA,NA,88,NA
"ANTH4580 Special Topics in Anthropology","Hersh, Carie","ANTH",4.4,4.8,4.35,4.25,18,NA,35,17.5,NA
"ANTH4580 Special Topics in Anthropology","Lee, Doreen","ANTH",4.7,5,4.3,4.1,NA,67,17,17,NA
"ANTH4580 Special Topics in Anthropology","Sylvanus, Nina","ANTH",4.5,5,4.4,4.3,20,NA,60,NA,20
"ANTH4600 Senior Seminar","Hersh, Carie","ANTH",4.8,4.8,4.4,4.4,25,25,NA,50,NA
"ANTH4600 Senior Seminar","Klein, Alan","ANTH",4.8,4.8,4.3,4.1,25,25,50,NA,NA
"ARAB1101 Elementary Arabic 1","Bruce, Muna","ARAB",4.3625,4.5875,4.525,4.45,NA,NA,NA,NA,NA
"ARAB1101 Elementary Arabic 1","Mustafa, Shakir","ARAB",4.6,4.8,4.6,4.5,NA,50,50,NA,NA
"ARAB1102 Elementary Arabic 2","Bruce, Muna","ARAB",4.1,4.2,4.6,4.5,NA,NA,44,33,NA
"ARAB1102 Elementary Arabic 2","Mustafa, Shakir","ARAB",4.16666666666667,4.26666666666667,4.5,4.43333333333333,NA,NA,NA,NA,NA
"ARAB2101 Intermediate Arabic 1","Mustafa, Shakir","ARAB",4.16666666666667,4.3,4.53333333333333,4.46666666666667,NA,NA,55.6666666666667,NA,NA
"ARAB2102 Intermediate Arabic 2","Al Recha Kuttab, Samira","ARAB",3.8,3.9,4.6,4.5,NA,71,14,14,NA
"ARAB2102 Intermediate Arabic 2","Bruce, Muna","ARAB",4.2,4.1,4.5,4.4,NA,NA,57,NA,29
"ARAB2102 Intermediate Arabic 2","Mustafa, Shakir","ARAB",3.85,3.7,4.5,4.45,NA,22.5,67.5,NA,NA
"ARAB4800 Special Topics in Arabic","Abderrazzaq, Mohammad","ARAB",4.43333333333333,4.61666666666667,4.55,4.45,28,NA,34,NA,NA
"ARCH1000 Architecture at NU","Maulsby, Lucy","ARCH",4.3,4.7,4.4,4.3,70,25,5,NA,NA
"ARCH1000 Architecture at NU","Wiederspahn, Peter","ARCH",4.4,4.9,4.2,4,71,25,4,NA,NA
"ARCH1110 Fundamental Arch Representatn","Hess, Kelley","ARCH",4.45,4.75,4.4,4.3,NA,NA,NA,NA,NA
"ARCH1110 Fundamental Arch Representatn","Lee, Amanda","ARCH",4.3,4,4.2,4,NA,NA,NA,NA,NA
"ARCH1110 Fundamental Arch Representatn","Murfield, Adam","ARCH",4.55,4.95,4.3,4.15,NA,NA,NA,49,NA
"ARCH1110 Fundamental Arch Representatn","Peek, Benjamin","ARCH",4,3.7,4.4,4.3,NA,NA,33,33,33
